cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2020,4,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2021,2,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,1994,3478,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,1995,3466,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,1996,3107,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,1997,3031,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,1998,2824,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,1999,2577,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2000,2463,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2001,2046,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2002,2208,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2003,1985,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2004,1879,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2005,1806,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2006,1698,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2007,1656,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2008,1585,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2009,1417,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2010,1524,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2011,1404,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2012,1388,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2013,1321,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2014,1372,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2015,1247,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2016,1218,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2017,1255,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2018,1223,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2019,1132,Defunciones
11,Guanajuato,0,Estatal,1002000034,Defunciones de menores de un año,2020,984,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,1994,1984,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,1995,1951,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,1996,1796,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,1997,1683,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,1998,1568,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,1999,1493,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2000,1422,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2001,1152,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2002,1276,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2003,1123,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2004,1109,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2005,1031,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2006,936,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2007,913,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2008,890,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2009,800,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2010,858,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2011,778,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2012,778,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2013,756,Defunciones
