,cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
10526,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2012,0.0,Defunciones
10527,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2013,0.0,Defunciones
10528,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2014,0.0,Defunciones
10529,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2015,0.0,Defunciones
10530,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2016,0.0,Defunciones
10531,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2017,0.0,Defunciones
10532,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2018,0.0,Defunciones
10533,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2019,0.0,Defunciones
10534,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2020,0.0,Defunciones
10535,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2021,0.0,Defunciones
10536,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,1994,0.0,Defunciones
10537,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,1995,1.0,Defunciones
10538,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,1996,1.0,Defunciones
10539,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,1997,0.0,Defunciones
10540,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,1998,0.0,Defunciones
10541,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,1999,1.0,Defunciones
10542,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2000,3.0,Defunciones
10543,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2001,0.0,Defunciones
10544,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2002,1.0,Defunciones
10545,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2003,0.0,Defunciones
10546,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2004,3.0,Defunciones
10547,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2005,0.0,Defunciones
10548,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2006,7.0,Defunciones
10549,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2007,0.0,Defunciones
10550,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2008,1.0,Defunciones
10551,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2009,1.0,Defunciones
10552,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2010,0.0,Defunciones
10553,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2011,1.0,Defunciones
10554,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2012,2.0,Defunciones
10555,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2013,0.0,Defunciones
10556,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2014,1.0,Defunciones
10557,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2015,2.0,Defunciones
10558,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2016,0.0,Defunciones
10559,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2017,2.0,Defunciones
10560,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2018,6.0,Defunciones
10561,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2019,0.0,Defunciones
10562,11,Guanajuato,996,No especificado,1002000034,Defunciones de menores de un año,2020,0.0,Defunciones
10563,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,1994,0.0,Defunciones
10564,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,1995,1.0,Defunciones
10565,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,1996,1.0,Defunciones
10566,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,1997,0.0,Defunciones
10567,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,1998,0.0,Defunciones
10568,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,1999,0.0,Defunciones
10569,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2000,1.0,Defunciones
10570,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2001,0.0,Defunciones
10571,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2002,1.0,Defunciones
10572,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2003,0.0,Defunciones
10573,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2004,2.0,Defunciones
10574,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2005,0.0,Defunciones
10575,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2006,3.0,Defunciones
10576,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2007,0.0,Defunciones
10577,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2008,1.0,Defunciones
10578,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2009,0.0,Defunciones
10579,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2010,0.0,Defunciones
10580,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2011,1.0,Defunciones
10581,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2012,2.0,Defunciones
10582,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2013,0.0,Defunciones
10583,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2014,1.0,Defunciones
10584,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2015,1.0,Defunciones
10585,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2016,0.0,Defunciones
10586,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2017,1.0,Defunciones
10587,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2018,5.0,Defunciones
10588,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2019,0.0,Defunciones
10589,11,Guanajuato,996,No especificado,1002000035,Defunciones de menores de un año hombres,2020,0.0,Defunciones
10590,11,Guanajuato,996,No especificado,1002000036,Defunciones de menores de un año mujeres,1994,0.0,Defunciones
10591,11,Guanajuato,996,No especificado,1002000036,Defunciones de menores de un año mujeres,1995,0.0,Defunciones
10592,11,Guanajuato,996,No especificado,1002000036,Defunciones de menores de un año mujeres,1996,0.0,Defunciones
