,cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,year,unidad_medida,valor
334,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2020,Nacimientos,771.0
335,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2021,Nacimientos,794.0
336,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,1994,Nacimientos,1554.0
337,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,1995,Nacimientos,1548.0
338,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,1996,Nacimientos,1552.0
339,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,1997,Nacimientos,1488.0
340,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,1998,Nacimientos,1420.0
341,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,1999,Nacimientos,1397.0
342,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2000,Nacimientos,1393.0
343,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2001,Nacimientos,1276.0
344,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2002,Nacimientos,1120.0
345,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2003,Nacimientos,1227.0
346,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2004,Nacimientos,1213.0
347,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2005,Nacimientos,1364.0
348,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2006,Nacimientos,1287.0
349,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2007,Nacimientos,1409.0
350,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2008,Nacimientos,1366.0
351,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2009,Nacimientos,1141.0
352,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2010,Nacimientos,1182.0
353,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2011,Nacimientos,1150.0
354,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2012,Nacimientos,1066.0
355,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2013,Nacimientos,1169.0
356,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2014,Nacimientos,1214.0
357,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2015,Nacimientos,1166.0
358,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2016,Nacimientos,970.0
359,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2017,Nacimientos,970.0
360,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2018,Nacimientos,954.0
361,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2019,Nacimientos,878.0
362,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2020,Nacimientos,692.0
363,11,Guanajuato,2,Acámbaro,1002000028,Nacimientos mujeres,2021,Nacimientos,842.0
364,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,1994,Nacimientos,1.0
365,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,1995,Nacimientos,0.0
366,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,1996,Nacimientos,1.0
367,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,1997,Nacimientos,2.0
368,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,1998,Nacimientos,0.0
369,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,1999,Nacimientos,0.0
370,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2000,Nacimientos,0.0
371,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2001,Nacimientos,0.0
372,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2002,Nacimientos,1.0
373,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2003,Nacimientos,0.0
374,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2004,Nacimientos,6.0
375,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2005,Nacimientos,0.0
376,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2006,Nacimientos,0.0
377,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2007,Nacimientos,1.0
378,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2008,Nacimientos,0.0
379,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2009,Nacimientos,0.0
